BookTitle,OptTag,
Slade House,,
The Bloody Chamber,^^,
Suburban witchcraft,,
Captive prince 1,,
Captive prince 2,,
Captive prince 3,,
Thief of time,,
Life of a counterfeiter,^^,
Night watch,*,
The man with two left feet and other stories,^^,
Northhanger abbey,,
Mansfield Park,,
Indiscretions of Archie,,
The crying of lot 49,,
Online short stories by Yoon Ha Lee,^^,
Online short stories by Ted Chiang,^^,
We,,
Catcher in the rye,,
The City Born Great,^,
Inherent Vice,,
The long dark teatime of the soul,*,
The last hero,,
