BookTitle,OptTag, Date,
hard boiled wonderland and the end of the world,[hilly],(1/01/19),
ghosts of the tsunami,o,(2/01/19),
Mary ventura and the ninth kingdom,^,(20/01/19),
Mr salary,^,(20/01/19),
the sleep consultant,^,(02/02/19),
the unbeatable deck of Ronan shin,^,(03/02/19),
come rain or come shine,^,(06/02/19),
a hero of our time,,(15/02/19),
strange pilgrims,^^,(16/02/19),
Bluebeard's egg,^^,(18/02/19),
the things  (Peter watts),^,(26/02/19),
timequake,,(27/02/19),
how do calculators even,o,(27/02/19),
Mr Penumbra's 24 Hour Bookstore,,(2/03/19),
the breakthrough,^,(18/03/19),
the guest cat,,(28/03/19),
when the wolves roamed England,^,(29/03/19),
civilised people,^,(29/03/19),
rest of Dublin review 74,^^o,(30/03/19),
Rose McGregor drinking and appreciation society,^,(3/04/19) ,
the mantis wives,^,(3/04/19),
treasured subscribers,^,(04/04/19),
iron council,,(12/04/19),
joyland,,(16/04/19),
Emily of new moon,,(16/04/19),
database,^,(17/04/19),
star diaries,,(08/05/19),
in other worlds,^^o,(16/05/19),
akugatawa and others - three Japanese short stories,^^,(16/05/19),
catch 22,*,(05/06/18),
the raven tower,,(07/06/19),
briefing for a descent into hell,,(16/06/19),
people like me,o,(16/06/19),
the decagon house murders,[jack],(19/06/19),
Satan in the suburbs and other short stories,^^,(21/06/19),
inversions,,(25/06/19),
pyramids,*,(25/06/19),
Mona Lisa overdrive,,(27/06/19),
hogfather,*,(9/07/19),
reaper man,*,(9/07/19),
guards!guards!,*,(10/07/19),
night watch,*,(10/07/19),
invisible cities,,(17/07/19),
my brilliant friend,,(19/07/19),
Maus,,(27/07/19),
the castle of crossed destinies,,(31/07/19),
Einstein's dreams,,(31/07/19),
bellwether,,(02/08/19),
internet of garbage,o,(04/08/19),
saga,,(07/08/19),
the huntress,^,(07/08/19),
a telephone call,^,(07/08/19),
girl,^,(07/08/19),
the mark of cain,^,(07/08/19),
hook,^,(07/08/19),
five short stories,^,(07/08/19),
the paper menagerie,*^,(07/08/19),
crazy they call me,^,(07/08/19),
sticks,^,(07/08/19),
answer,^,(07/08/19),
notes to self,o,(08/08/19),
hazards of time travel,,(17/08/19),
if on a winter's night a traveller,,(17/08/19),
riot days,o,(19/08/19),
the bookshop,,(20/08/19),
educated,o,(24/08/19),
captain Corelli's mandolin - abridged,,(29/08/19),
digital minimalism,o,(02/09/19),
early riser,,(04/09/19),
never split the difference,o,(05/09/19),
the Bauhaus and design theory,o,(08/09/19),
all systems red,,(11/09/19),
artificial condition,,(11/09/19),
a memory called empire,,(12/10/19),
Olive Kitteridge,,(15/10/19),
how to do nothing,o,(05/11/19),
drawing the process,o,(05/11/19),
between past and future,o,(16/11/19),
super pumped,o,(20/12/19),
expletives deleted,o,(26/12/19),
