BookTitle,OptTag,Date
Fiasco ,,(01/01/22)
how to do nothing,o* ,(05/01/22)
the invisible life of Addie LaRue ,,(09/01/22)
scum villains self saving system 1 ,,(10/01/22)
internet spaceships are serious business,o^^ ,(12/01/22)
the king in yellow ,,(16/01/22)
the dark forest ,,(22/01/22)
brave new world ,,(25/01/22)
out of office,o ,(27/01/22)
riddley walker ,,(29/01/22)
Blockchain chicken farm,o ,(03/02/22)
foundryside ,,(25/02/22)
shorefall ,,(26/02/22)
the wizard of earthsea,* ,(26/02/22)
the tombs of atuan ,,(26/02/22)
sabriel,* ,(28/02/22)
the farthest shore ,,(02/03/22)
tehanu ,,(02/03/22)
tales from earthsea ,^^ ,(02/03/22)
the other wind ,,(07/03/22)
the word of unbinding,^ ,(09/03/22)
the rule of names ,^* ,(09/03/22)
the daughter of odren ,^ ,(09/03/22)
firelight ,^ ,(09/03/22)
Lirael ,,(16/03/22)
the dawn of everything ,o ,(20/03/22)
hellebore #1 ,^^o ,(23/03/22)
roadside picnic ,,(24/03/22)
we have always lived in the castle ,,(25/03/22)
the tomato thief,^ ,(28/03/22)
Two Spacesuits,^ ,(07/04/22)
"Dr. Gertrude Blanch, Computer Oral History Collection, 1969-1973, 1977",^o, (22/04/22)
name of the rose ,,(24/04/22)
nettle and bone ,,(26/04/22)
devil house ,,(10/05/22)
the word for the world is forest ,,(14/05/22)
dark matters,o ,(16/05/22)
diagrammatic writing ,o ,(16/05/22)
look to windward ,,(17/05/22)
hard to be a god ,,(23/05/22)
into the gray,^ ,(26/05/22)
rose daughter ,,(26/05/22)
black sheep ,,(28/05/22)
lud-in-the-mist ,,(03/06/22)
Silas marner ,,(06/06/22)
fifteen dogs ,,(06/06/22)
beloved ,,(11/06/22)
bullshit jobs ,o ,(29/06/22)
a wizards guide to defensive baking ,,(02/07/22)
permutation city ,,(04/07/22)
practical magic ,,(06/07/22)
death in her hands ,,(07/07/22)
the rook ,,(08/07/22)
kindred ,,(08/07/22)
calypso ,,(08/07/22)
the sirens of titan ,,(14/08/22)
shards of earth ,,(19/08/22)
